geometry,file
"BoundingBox(left=-13023466.0, bottom=4509615.0, right=-13009966.0, top=4523115.0)",gridcell_328
"BoundingBox(left=-13009966.0, bottom=4509615.0, right=-12996466.0, top=4523115.0)",gridcell_329
"BoundingBox(left=-12996466.0, bottom=4509615.0, right=-12982966.0, top=4523115.0)",gridcell_330
"BoundingBox(left=-12982966.0, bottom=4509615.0, right=-12969466.0, top=4523115.0)",gridcell_331
"BoundingBox(left=-12969466.0, bottom=4509615.0, right=-12955966.0, top=4523115.0)",gridcell_332
"BoundingBox(left=-12955966.0, bottom=4509615.0, right=-12942466.0, top=4523115.0)",gridcell_333
"BoundingBox(left=-12942466.0, bottom=4509615.0, right=-12928966.0, top=4523115.0)",gridcell_334
"BoundingBox(left=-12928966.0, bottom=4509615.0, right=-12915466.0, top=4523115.0)",gridcell_335
"BoundingBox(left=-12915466.0, bottom=4509615.0, right=-12901966.0, top=4523115.0)",gridcell_336
"BoundingBox(left=-12901966.0, bottom=4509615.0, right=-12888466.0, top=4523115.0)",gridcell_337
"BoundingBox(left=-12888466.0, bottom=4509615.0, right=-12874966.0, top=4523115.0)",gridcell_338
"BoundingBox(left=-12874966.0, bottom=4509615.0, right=-12861466.0, top=4523115.0)",gridcell_339
"BoundingBox(left=-12861466.0, bottom=4509615.0, right=-12847966.0, top=4523115.0)",gridcell_340
"BoundingBox(left=-12847966.0, bottom=4509615.0, right=-12834466.0, top=4523115.0)",gridcell_341
"BoundingBox(left=-12834466.0, bottom=4509615.0, right=-12820966.0, top=4523115.0)",gridcell_342
"BoundingBox(left=-12820966.0, bottom=4509615.0, right=-12807466.0, top=4523115.0)",gridcell_343
"BoundingBox(left=-12807466.0, bottom=4509615.0, right=-12793966.0, top=4523115.0)",gridcell_344
"BoundingBox(left=-12793966.0, bottom=4509615.0, right=-12780466.0, top=4523115.0)",gridcell_345
"BoundingBox(left=-12780466.0, bottom=4509615.0, right=-12766966.0, top=4523115.0)",gridcell_346
"BoundingBox(left=-12766966.0, bottom=4509615.0, right=-12753466.0, top=4523115.0)",gridcell_347
"BoundingBox(left=-12753466.0, bottom=4509615.0, right=-12739966.0, top=4523115.0)",gridcell_348
"BoundingBox(left=-12739966.0, bottom=4509615.0, right=-12726466.0, top=4523115.0)",gridcell_349
"BoundingBox(left=-12726466.0, bottom=4509615.0, right=-12712966.0, top=4523115.0)",gridcell_350
"BoundingBox(left=-12712966.0, bottom=4509615.0, right=-12699466.0, top=4523115.0)",gridcell_351
"BoundingBox(left=-12699466.0, bottom=4509615.0, right=-12685966.0, top=4523115.0)",gridcell_352
"BoundingBox(left=-12685966.0, bottom=4509615.0, right=-12672466.0, top=4523115.0)",gridcell_353
"BoundingBox(left=-12672466.0, bottom=4509615.0, right=-12658966.0, top=4523115.0)",gridcell_354
"BoundingBox(left=-12658966.0, bottom=4509615.0, right=-12645466.0, top=4523115.0)",gridcell_355
"BoundingBox(left=-12645466.0, bottom=4509615.0, right=-12631966.0, top=4523115.0)",gridcell_356
